timestamp,close
2023-01-01,100.0
2023-01-02,101.2
2023-01-03,102.4
2023-01-04,103.1
2023-01-05,102.9
2023-01-06,104.0
2023-01-07,104.8
2023-01-08,105.2
2023-01-09,106.1
2023-01-10,105.6
2023-01-11,106.8
2023-01-12,108.0
2023-01-13,109.2
2023-01-14,108.6
2023-01-15,109.0
2023-01-16,110.4
2023-01-17,111.3
2023-01-18,110.0
2023-01-19,109.4
2023-01-20,110.1
2023-01-21,111.7
2023-01-22,113.0
2023-01-23,114.6
2023-01-24,113.9
2023-01-25,115.1
2023-01-26,116.2
2023-01-27,115.8
2023-01-28,117.0
2023-01-29,116.5
2023-01-30,118.0
2023-01-31,117.4
2023-02-01,116.8
2023-02-02,115.3
2023-02-03,114.0
2023-02-04,113.2
2023-02-05,112.6
2023-02-06,113.4
2023-02-07,114.9
2023-02-08,116.2
2023-02-09,117.5
2023-02-10,118.0
2023-02-11,117.3
2023-02-12,116.5
2023-02-13,115.0
2023-02-14,114.4
2023-02-15,115.6
2023-02-16,117.0
2023-02-17,118.8
2023-02-18,119.5
2023-02-19,120.2
2023-02-20,119.4
2023-02-21,118.6
2023-02-22,117.0
2023-02-23,116.4
2023-02-24,117.8
2023-02-25,118.5
2023-02-26,119.0
2023-02-27,120.4
2023-02-28,121.0
2023-03-01,120.5
2023-03-02,121.2
